key,value,lulc
building,allotment_house,urban-low-density
building,annexe,urban-low-density
building,apartments,urban-low-density
building,bakehouse,commerical/residential/industrial
building,barn,developed-open-space
building,barracks,
building,beach_hut,
building,boathouse,urban-low-density
building,bridge,
building,bungalow,urban-low-density
building,bunker,
building,cabin,urban-low-density
building,carport,urban-low-density
building,castle,
building,cathedral,commerical/residential/industrial
building,chapel,commerical/residential/industrial
building,church,commerical/residential/industrial
building,civic,commerical/residential/industrial
building,college,commerical/residential/industrial
building,commercial,commerical/residential/industrial
building,conservatory,
building,construction,developed-construction
building,container,commerical/residential/industrial
building,cowshed,
building,detached,urban-low-density
building,digester,
building,dormitory,urban-low-density
building,farm,developed-open-space
building,farm_auxiliary,developed-open-space
building,fire_station,commerical/residential/industrial
building,garage,commerical/residential/industrial
building,garages,commerical/residential/industrial
building,gatehouse,
building,ger,
building,government,commerical/residential/industrial
building,grandstand,commerical/residential/industrial
building,greenhouse,commerical/residential/industrial
building,guardhouse,
building,hangar,commerical/residential/industrial
building,hospital,commerical/residential/industrial
building,hotel,commerical/residential/industrial
building,house,urban-low-density
building,houseboat,urban-low-density
building,hut,developed-open-space
building,industrial,commerical/residential/industrial
building,kindergarten,commerical/residential/industrial
building,kingdom_hall,commerical/residential/industrial
building,kiosk,commerical/residential/industrial
building,livestock,developed-open-space
building,military,
building,monastery,commerical/residential/industrial
building,mosque,commerical/residential/industrial
building,museum,commerical/residential/industrial
building,office,commerical/residential/industrial
building,outbuilding,
building,pagoda,developed-open-space
building,parking,commerical/residential/industrial
building,pavilion,commerical/residential/industrial
building,presbytery,
building,public,commerical/residential/industrial
building,quonset_hut,
building,religious,commerical/residential/industrial
building,residential,urban-low-density
building,retail,commerical/residential/industrial
building,riding_hall,
building,roof,
building,ruins,
building,school,commerical/residential/industrial
building,semidetached_house,urban-low-density
building,service,commerical/residential/industrial
building,shed,urban-low-density
building,shrine,
building,silo,commerical/residential/industrial
building,slurry_tank,
building,sports_centre,commerical/residential/industrial
building,sports_hall,commerical/residential/industrial
building,stable,
building,stadium,commerical/residential/industrial
building,static_caravan,
building,stilt_house,urban-low-density
building,storage_tank,commerical/residential/industrial
building,sty,
building,supermarket,commerical/residential/industrial
building,synagogue,commerical/residential/industrial
building,tech_cab,
building,temple,commerical/residential/industrial
building,tent,
building,terrace,urban-low-density
building,toilets,
building,tower,
building,train_station,commerical/residential/industrial
building,transformer_tower,
building,transportation,commerical/residential/industrial
building,tree_house,
building,trullo,
building,university,commerical/residential/industrial
building,user defined,
building,warehouse,commerical/residential/industrial
building,water_tower,
building,windmill,
building,yes,urban-low-density
natural,reservoir,water
natural,basin,water
natural,glacier,snow_ice
natural,mud,rock_soil
natural,shingle,rock_soil
natural,beach,rock_soil
natural,sand,rock_soil
natural,scree,rock_soil
natural,bare_rock,rock_soil
landuse,quarry,rock_soil
landuse,brownfield,rock_soil
landuse,landfill,rock_soil
landuse,forest,forest
natural,scrub,scrubland
natural,heath,scrubland
natural,grassland,grassland
landuse,meadow,grassland
natural,wetland,wetland
landuse,recreation_ground,urban_open
landuse,village_green,urban_open
landuse,residential,urban_low
landuse,construction,urban_construction
landuse,commercial,urban_high
landuse,garages,urban_high
landuse,industrial,urban_high
landuse,railway,urban_high
landuse,retail,urban_high
amenity,parking,urban_high
amenity,motorcycle_parking,urban_high
amenity,bicycle_parking,urban_high
amenity,arts_centre,urban_high
amenity,bus_station,urban_high
amenity,college,urban_high
amenity,community_centre,urban_high
amenity,conference_centre,urban_high
amenity,courthouse,urban_high
amenity,fire_station,urban_high
amenity,hospital,urban_high
amenity,university,urban_high
landuse,farmland,cropland
landuse,allotments,cropland
landuse,orchard,cropland
landuse,vineyard,cropland
landuse,plant_nursery,cropland
leisure,garden,cropland
